ID;Nama;Tempat;Rating_Code;Waktu;Ratings
65;Keni;Blue Lagoon Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
65;Keni;Parangtritis Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;2 years ago;1
65;Keni;Kuta Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
65;Keni;Tanjung Aan Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
65;Keni;Uluwatu Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
65;Keni;Melasti Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 months ago;5
65;Keni;Selong Belanak Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
65;Keni;Gunung Gambar;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 months ago;5
65;Keni;Gunung Ijo;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
65;Keni;Gunung Ireng Srumbung;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;2 years ago;1
65;Keni;Puncak Gunung Api Purba (Nglanggeran);https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
65;Keni;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;7 months ago;1
65;Keni;Bandung Waterfall;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
65;Keni;Benang Kelambu Waterfall;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
65;Keni;Kuning Waterfall;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;3 years ago;1
65;Keni;Tibumana Waterfall;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
65;Keni;Sari Parkl;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;4 months ago;5
65;Keni;Seganing Waterfall;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
65;Keni;Taman Pelangi;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
65;Keni;Taman Suropati;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
65;Keni;Prambanan Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
65;Keni;Borobudur Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
65;Keni;Lombok;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
66;Nico;Pandawa Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;10 months ago;5
66;Nico;Malioboro Yogyakarta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
66;Nico;Telaga Warna Dieng;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
66;Nico;Taman Wisata Alam Mangrove, Angke Kapuk;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a month ago;5
66;Nico;Ancol Dreamland;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
66;Nico;Tempo Gelato Prawirotaman;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
67;Dewi Susanti;Pandawa Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
67;Dewi Susanti;Ulun Danu Beratan Temple;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
67;Dewi Susanti;Pink Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
67;Dewi Susanti;Uluwatu Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
67;Dewi Susanti;Ubud;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
68;Elly Azim;Pandawa Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
68;Elly Azim;Mawi Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
68;Elly Azim;Benete Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;3 years ago;1
68;Elly Azim;Senggigi Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
68;Elly Azim;Kuta Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 years ago;5
68;Elly Azim;Mawun Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
68;Elly Azim;Maluk beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
68;Elly Azim;Selong Belanak Beach;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
68;Elly Azim;Gunung Kijang Teknik;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;a year ago;5
68;Elly Azim;Gunung Kanji;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 years ago;5
